# Ca = 39.5				
# De = 1.7				
# vol_rat = 0.83				
# strain_rate = 0.76				
# Note: time is non-dimensionalized by strain rate				
# Note: length is non-dimensionalized by initial length				
time	Ca_x	D	L_x	L_y
12.0384	-4.44819536	-0.4367426079	-0.5914205345	1.166666667
12.2892	-7.097804901	-0.4298288509	-0.5900140647	1.137426901
12.54	-9.714799242	-0.4294175716	-0.5935302391	1.116959064
12.7908	-12.287153	-0.4297108674	-0.5977496484	1.096491228
13.0416	-14.80304593	-0.423	-0.594233474	1.080409357
13.2924	-17.25091723	-0.4067710965	-0.5872011252	1.035087719
13.5432	-19.61951864	-0.391215526	-0.5808720113	0.9912280702
13.794	-21.89796619	-0.3743536711	-0.5745428973	0.9429824561
14.0448	-24.07579016	-0.3526970954	-0.5611814346	0.9064327485
14.2956	-26.1429832	-0.328100471	-0.5485232068	0.8552631579
14.5464	-28.09004634	-0.291886196	-0.5274261603	0.7923976608
14.7972	-29.9080326	-0.2401055409	-0.4936708861	0.7178362573
15.048	-31.58858813	-0.1846396633	-0.4549929677	0.6461988304
15.2988	-33.12399059	-0.1238798102	-0.4156118143	0.5584795322
15.5496	-34.50718465	-0.06659674882	-0.3741209564	0.4868421053
15.8004	-35.73181436	0.002087682672	-0.3248945148	0.3976608187
16.0512	-36.79225243	0.07772020725	-0.2686357243	0.3011695906
16.302	-37.68362602	0.1524201854	-0.2130801688	0.2032163743
16.5528	-38.40183916	0.2212570261	-0.1596343179	0.1140350877
16.8036	-38.9435916	0.2839132627	-0.1047819972	0.03801169591
17.0544	-39.30639391	0.3319899244	-0.07032348805	-0.03070175439
17.3052	-39.48857899	0.3783375315	-0.03797468354	-0.09795321637
17.556	-39.48930966	0.4121756487	-0.004922644163	-0.1388888889
17.8068	-39.30858258	0.4354918438	0.02109704641	-0.1652046784
18.0576	-38.9472282	0.4569471624	0.04711673699	-0.1885964912
18.3084	-38.40690699	0.468219311	0.06399437412	-0.1988304094
18.5592	-37.69010179	0.4832767814	0.07594936709	-0.2207602339
18.81	-36.80010638	0.4817307692	0.08368495077	-0.2119883041
19.0608	-35.74101041	0.4751567776	0.07524613221	-0.2046783626
19.3116	-34.51768053	0.4744386049	0.08509142053	-0.1959064327
19.5624	-33.13573808	0.469776297	0.08579465541	-0.1856725146
19.8132	-31.60153324	0.47086915	0.08298171589	-0.1900584795
20.064	-29.92211585	0.4663461538	0.07243319269	-0.1885964912
20.3148	-28.10520301	0.4628019324	0.064697609	-0.1871345029
20.5656	-26.15914366	0.4610136452	0.05414908579	-0.1915204678
20.8164	-24.09288014	0.4474327628	0.04078762307	-0.1739766082
21.0672	-21.91590716	0.4494875549	0.04430379747	-0.1754385965
21.318	-19.63822816	0.4466634194	0.04430379747	-0.1695906433
21.5688	-17.27030932	0.441335297	0.0323488045	-0.168128655
21.8196	-14.8230315	0.4429760157	0.03656821378	-0.168128655
22.0704	-12.3076402	0.4409024031	0.03305203938	-0.1666666667
22.3212	-9.735693928	0.4478346457	0.03445850914	-0.1798245614
22.572	-7.119011066	0.4481737414	0.03164556962	-0.182748538
22.8228	-4.469615558	0.4494326591	0.03305203938	-0.1842105263
23.0736	-1.799681671	0.456329735	0.04360056259	-0.1900584795
23.3244	0.8785219531	0.4488888889	0.03164556962	-0.1842105263
23.5752	3.552688671	0.4503968254	0.02812939522	-0.1900584795
23.826	6.210530391	0.4527461653	0.0323488045	-0.1915204678
24.0768	8.839834035	0.4492753623	0.01969057665	-0.1944444444
24.3276	11.42851766	0.4443890274	0.01828410689	-0.1856725146
24.5784	13.96468598	0.4364089776	0.01265822785	-0.1739766082
24.8292	16.43668502	0.427	0.003516174402	-0.1622807018
25.08	18.83315567	0.4090452261	-0.01406469761	-0.1403508772
25.3308	21.14308588	0.38336714	-0.04078762307	-0.1111111111
25.5816	23.35586127	0.3612244898	-0.06188466948	-0.08479532164
25.8324	25.46131388	0.3302705462	-0.08368495077	-0.04093567251
26.0832	27.44976893	0.2900255754	-0.1132208158	0.01461988304
26.334	29.31208925	0.2432706958	-0.1392405063	0.08918128655
26.5848	31.03971727	0.1825557809	-0.1800281294	0.1783625731
26.8356	32.62471435	0.1200807265	-0.2194092827	0.2748538012
27.0864	34.05979724	0.04833084205	-0.2601969058	0.3961988304
27.3372	35.3383716	-0.02513553475	-0.3045007032	0.5204678363
27.588	36.45456221	-0.09623839766	-0.3495077356	0.6403508772
27.8388	37.40324007	-0.165377176	-0.3931082982	0.7616959064
28.0896	38.18004589	-0.2285438766	-0.4374120956	0.8625730994
28.3404	38.78141017	-0.2824207493	-0.4746835443	0.951754386
28.5912	39.20456957	-0.3314037627	-0.5126582278	1.01754386
28.842	39.44757962	-0.3722275796	-0.5421940928	1.080409357
29.0928	39.50932367	-0.4051183003	-0.5668073136	1.127192982
29.3436	39.389518	-0.4302325581	-0.5864978903	1.157894737
29.5944	39.08871312	-0.4411622276	-0.594233474	1.175438596
29.8452	38.60829127	-0.4472410455	-0.5984528833	1.185672515
30.096	37.95046004	-0.4415899176	-0.5949367089	1.173976608
30.3468	37.11824224	-0.4420849421	-0.5935302391	1.184210526
30.5976	36.115462	-0.4458293384	-0.5935302391	1.204678363
30.8484	34.94672721	-0.446969697	-0.5893108298	1.233918129
31.0992	33.61740833	-0.4485363551	-0.5893108298	1.242690058
31.35	32.13361373	-0.4455909944	-0.5843881857	1.252923977
31.6008	30.50216161	-0.4469483568	-0.5857946554	1.252923977
31.8516	28.73054868	-0.450611477	-0.5893108298	1.254385965
32.1024	26.82691569	-0.4510357815	-0.5900140647	1.252923977
32.3532	24.80001005	-0.4589235127	-0.5970464135	1.25877193
32.604	22.65914561	-0.4647754137	-0.6019690577	1.264619883
32.8548	20.41415988	-0.4656560872	-0.6033755274	1.261695906
33.1056	18.07536883	-0.4645069081	-0.6047819972	1.247076023
33.3564	15.65351945	-0.4549785612	-0.5977496484	1.23245614
33.6072	13.15974041	-0.4575946334	-0.6019690577	1.223684211
33.858	10.60549091	-0.456123433	-0.6033755274	1.207602339
34.1088	8.002508	-0.450411224	-0.6005625879	1.191520468
34.3596	5.362752679	-0.444228904	-0.5970464135	1.176900585
34.6104	2.698354914	-0.436770428	-0.5928270042	1.159356725
34.8612	0.02155790941	-0.4312285854	-0.5914205345	1.137426901
35.112	-2.655338156	-0.426035503	-0.5907172996	1.114035088
35.3628	-5.320032649	-0.4217585693	-0.5907172996	1.092105263
35.6136	-7.960281001	-0.4137587238	-0.5864978903	1.073099415
35.8644	-10.56395098	-0.3927855711	-0.5738396624	1.032163743
36.1152	-13.11907843	-0.3721747865	-0.5604781997	0.9970760234
36.366	-15.61392226	-0.3618320611	-0.55907173	0.9561403509
36.6168	-18.03701839	-0.3346980553	-0.5428973277	0.9064327485
36.8676	-20.37723242	-0.3018964634	-0.5210970464	0.8567251462
37.1184	-22.6238108	-0.2507676561	-0.4852320675	0.7865497076
37.3692	-24.76643027	-0.1965288412	-0.4465541491	0.7134502924
37.62	-26.79524524	-0.1349974529	-0.4029535865	0.6286549708
37.8708	-28.70093309	-0.06632653061	-0.3565400844	0.5277777778
38.1216	-30.47473697	0.006066734075	-0.300281294	0.4371345029
38.3724	-32.10850605	0.07576517812	-0.2461322082	0.3464912281
38.6232	-33.59473299	0.1530108588	-0.1786216596	0.2543859649
38.874	-34.9265884	0.2265625	-0.1167369902	0.1578947368
39.1248	-36.09795227	0.2953667954	-0.05625879044	0.06725146199
39.3756	-37.10344204	0.3419416547	-0.01336146273	0.005847953216
39.6264	-37.93843738	0.3876190476	0.02461322082	-0.05994152047
39.8772	-38.5991014	0.4191106906	0.05485232068	-0.1023391813
40.128	-39.08239826	0.4460093897	0.08298171589	-0.1374269006
40.3788	-39.38610717	0.4616470588	0.09212376934	-0.1637426901
40.6296	-39.50883255	0.4755639098	0.1040787623	-0.1842105263
40.8804	-39.45001046	0.4822097378	0.1132208158	-0.1915204678
41.1312	-39.2099112	0.4847489442	0.1125175809	-0.1973684211
41.382	-38.78963805	0.4766619519	0.1012658228	-0.1885964912
41.6328	-38.19112221	0.4803967879	0.1019690577	-0.1959064327
41.8836	-37.41711393	0.4794520548	0.1012658228	-0.1944444444
42.1344	-36.47116986	0.4825306893	0.1040787623	-0.1988304094
42.3852	-35.35763672	0.4807050977	0.09282700422	-0.2032163743
42.636	-34.08163132	0.48	0.09282700422	-0.201754386
42.8868	-32.64901705	0.4780952381	0.09142053446	-0.1988304094
43.1376	-31.06637692	0.4798850575	0.0864978903	-0.2061403509
43.3884	-29.34098334	0.4732313576	0.08368495077	-0.1944444444
43.6392	-27.48076469	0.4792560801	0.09071729958	-0.201754386
43.89	-25.49426888	0.478177458	0.08368495077	-0.2046783626
44.1408	-23.39062408	0.4778846154	0.08087201125	-0.2061403509
44.3916	-21.17949677	0.478805395	0.07946554149	-0.2090643275
44.6424	-18.87104731	0.4783445621	0.08016877637	-0.2076023392
44.8932	-16.47588331	0.4713193117	0.08227848101	-0.1915204678
45.144	-14.00501079	0.4766714767	0.07946554149	-0.2046783626
45.3948	-11.4697837	0.4664750958	0.07665260197	-0.1856725146
45.6456	-8.881851675	0.4613003096	0.06690777577	-0.1823308271
45.8964	-6.253106559	0.4595524957	0.07341772152	-0.1736842105
46.1472	-3.595627726	0.4468085106	0.07594936709	-0.1447368421
46.398	-0.9216265835	0.3974895397	0.05696202532	-0.05263157895
