time,Ca_x,x_len,y_len,major_len,minor_len
1.24,-0.32906711899141794,3.1547036000000004,1.6871653,3.154703930859121,1.6871655409133313
1.25,-0.331619466135624,3.1470554,1.6942316000000002,3.1470557229813307,1.6942318796395923
1.26,-0.33416938832501697,3.1392854999999997,1.7013826,3.13928581561588,1.701382918431647
1.27,-0.3367168669133872,3.1313958,1.7086176,3.131396108714192,1.7086179575574634
1.28,-0.3392618832723938,3.123388,1.7159363,3.1233883022569455,1.7159366969232692
1.29,-0.34180441879170087,3.1152642000000004,1.723338,3.1152644961964686,1.7233384365886906
1.3,-0.34434445487911347,3.1070260000000003,1.7308224,3.1070262905023807,1.7308228764022402
1.31,-0.34688197296071377,3.0986754,1.7383887,3.098675685178148,1.7383892166380583
1.32,-0.3494169544809966,3.0902139,1.746037,3.0902141801595207,1.7460375571062448
1.33,-0.3519493809030054,3.0816437,1.7537664,3.081643975439953,1.7537669979355703
1.34,-0.35447923370846773,3.0729661,1.7615767,3.072966371017606,1.761577339035635
1.35,-0.3570064943979306,3.0641832,1.7694675,3.0641834668783163,1.769468180527638
1.36,-0.3595311444908956,3.0552965,1.7774385000000001,3.055296762981926,1.7774392223376894
1.37,-0.36205316552595457,3.0463079000000004,1.7854894,3.0463081593209536,1.785490164573838
1.38,-0.36457253906092363,3.0372189,1.7936198,3.0372191559071258,1.7936206071285197
1.39,-0.36708924667297943,3.0280315,1.8018296,3.028031752696359,1.8018304500288362
1.4,-0.36960326995879245,3.0187473000000002,1.8101184,3.0187475496914606,1.810119293440346
1.41,-0.37211459053466245,3.0093677999999997,1.8184860999999999,3.009368046900197,1.818487037222821
1.42,-0.3746231900366526,2.9998949,1.8269324,2.9998951442837747,1.8269333814080464
1.43,-0.37712905012072395,2.9903301000000004,1.8354572999999998,2.990330341855046,1.8354583260644541
1.44,-0.37963215246286924,2.9806752000000003,1.8440604999999999,2.980675439608082,1.8440615711056272
1.45,-0.3821324787592473,2.9709316,1.8527419,2.9709318374944766,1.85274301664712
1.46,-0.3846300107263165,2.9611011,1.8615013999999999,2.9611013355396185,1.861502562617157
1.47,-0.3871247301009687,2.9511852000000003,1.870339,2.951185433747697,1.8703402090740302
1.48,-0.3896166186406628,2.9411857,1.8792545,2.9411859320838065,1.879255755949239
1.49,-0.39210565812355813,2.9311038,1.8882479,2.931104030579894,1.888249203273907
1.5,-0.39459183034864737,2.9209414000000002,1.8973193,2.9209416291824333,1.8973206512942218
1.51,-0.39707511713589017,2.9106999,1.9064686,2.9107001279071287,1.9064699995034615
1.52,-0.39955550032634574,2.9003807999999998,1.9156957000000001,2.9003810267701926,1.9156971483633063
1.53,-0.4020329617823057,2.8899856,1.9250009,2.889985825725235,1.9250023977778477
1.54,-0.40450748338742687,2.8795159000000004,1.934384,2.8795161247927923,1.934385547539724
1.55,-0.40697904704686344,2.868973,1.943845,2.868973223984902,1.9438465978826298
1.56,-0.40944763468739964,2.8583586,1.9533843000000002,2.8583588232755996,1.9533859488191716
1.57,-0.4119132282575816,2.847674,1.9630016000000001,2.847674222634807,1.9630033002336975
1.58,-0.41437580972784954,2.8369206,1.9726972,2.836920822094175,1.9726989522120584
1.59,-0.41683536109066954,2.8260999,1.9824713,2.8261001216494273,1.9824731047769957
1.6,-0.4192918643606652,2.8152133,1.9923237,2.8152135212808735,1.9923255577521648
1.61,-0.42174530157474915,2.8042621,2.0022548999999996,2.804262321010607,2.002256811457769
1.62,-0.4241956547922546,2.7932477000000002,2.0122646,2.793247920784893,2.0122665657037873
1.63,-0.426642906095066,2.7821714,2.0223534,2.782171620656655,2.022355420571854
1.64,-0.429087037587751,2.7710347,2.0325211000000003,2.7710349205775278,2.0325231759897
1.65,-0.43152803139769036,2.7598388,2.0427679000000003,2.759839020596251,2.0427700320822293
1.66,-0.43396586967520895,2.7485850999999997,2.0530942000000003,2.748585320652343,2.0530963888000553
1.67,-0.43640053459370665,2.7372747,2.0634997999999998,2.7372749207671343,2.063502046178752
1.68,-0.43883200834978814,2.7259091,2.0739851,2.725909320940124,2.0739874042692548
1.69,-0.44126027316339356,2.7144895,2.0845501,2.714489721187219,2.08455246315342
1.7,-0.4436853112779282,2.7030171000000003,2.0951950999999998,2.703017321455246,2.0951975225843977
1.71,-0.4461071049603925,2.6914930999999997,2.1059203,2.691493321772388,2.105922782795797
1.72,-0.44852563650151167,2.6799189,2.1167255999999997,2.679919122125594,2.1167281438645333
1.73,-0.45094088821586525,2.6682955,2.1276116,2.6682957225359707,2.127614205623491
1.74,-0.4533528424420164,2.6566243,2.138578,2.6566245229818506,2.1385806681973945
1.75,-0.4557614815426409,2.6449065000000003,2.1496250999999997,2.6449067234481323,2.149627831773899
1.76,-0.45816678790465637,2.6331432,2.1607532999999997,2.633143423941734,2.1607560961877876
1.77,-0.460568743939351,2.6213356,2.1719622999999997,2.621335824489258,2.171965161459892
1.78,-0.462967332082512,2.6094847000000003,2.1832526999999997,2.609484925032312,2.183255627768438
1.79,-0.4653625347945543,2.5975919000000003,2.1946244,2.597592125604189,2.194627395076483
1.8,-0.4677543345606486,2.5856582,2.2060774,2.5856584262009505,2.2060804634765008
1.81,-0.4701427138908494,2.5736847999999997,2.2176122,2.5736850267874667,2.217615332839335
1.82,-0.47252765532022317,2.5616727,2.2292286,2.561672927406633,2.229231803454206
1.83,-0.47490914140897583,2.5496232,2.2409268,2.549623428013672,2.2409300752343118
1.84,-0.4772871547425804,2.5375373000000003,2.2527068,2.5375375286238793,2.2527101483406655
1.85,-0.4796616779319042,2.5254161,2.2645688,2.5254163292005973,2.264572222660291
1.86,-0.48203269361333617,2.5132607,2.2765128,2.5132609298207065,2.2765162984906375
1.87,-0.4844001844489138,2.5010722000000003,2.2885388,2.501072430417472,2.2885423758341386
1.88,-0.4867641331264497,2.4888515,2.300647,2.4888517309599347,2.3006506545601493
1.89,-0.4891245223596587,2.4766000000000004,2.3128372,2.476600231529816,2.312840935009112
1.9,-0.49148133488828355,2.4643184,2.3251096,2.4643186320160386,2.325113417153499
1.91,-0.4938345534782218,2.452008,2.3374639999999998,2.4520082325098684,2.3374679010071224
1.92,-0.49618416092165146,2.4396698,2.3499005,2.4396700329572156,2.349904486873577
1.93,-0.49853014003715684,2.4273047,2.3624188999999998,2.42730493330768,2.3624229744901406
1.94,-0.5008724736698543,2.4149138,2.3750191000000003,2.4149140336616535,2.3750232642995925
1.95,-0.5032111446915178,2.4024982,2.3877012,2.4024984339029434,2.3877054565061258
1.96,-0.5055461360007039,2.3900588000000003,2.4004649000000002,2.3900590340887504,2.400469250948341
1.97,-0.5078774305228767,2.3775966000000004,2.4133101,2.37759683421151,2.4133145478602285
1.98,-0.5102050112105332,2.3651127,2.4262366,2.365112934226332,2.426241147494515
1.99,-0.5125288610433276,2.3526081,2.4392441,2.3526083341081923,2.4392487498466324
2.0,-0.5148489630281959,2.3400836,2.4523325,2.340083833856655,2.452337255088641
