# volRat = 0.800
# viscRat = 1.000
# Ca = 77.600
# W = 0.034
time,Ca_x,x_len,y_len,major_len,minor_len
48.22,0.6641871507846543,3.1105003,1.4016849,3.1088662285606325,1.4071873957321674
48.23,0.6657594404813528,3.1259487999999997,1.3915948,3.1242835877724446,1.396720057836039
48.24,0.6673287796744143,3.1411946,1.381483,3.139499556995161,1.3863227049408633
48.25,0.6688951614088613,3.1562205,1.3714224000000002,3.154497104400207,1.3760095694629424
48.26,0.6704585787428259,3.1710088,1.3615251000000002,3.1692587008516497,1.3657943000439254
48.27,0.6720190247475789,3.1855409,1.3518027,3.183765915541426,1.3556903861218847
48.28,0.6735764925075519,3.1997985,1.3422185,3.198000603451285,1.3457113062371802
48.29,0.6751309751203828,3.2137625,1.3327840000000002,3.2119438232733266,1.3358696434083641
48.3,0.6766824656969382,3.2274129,1.3235105,3.2255757191558674,1.3261778650881082
48.31,0.678230957361342,3.2407298,1.3144093,3.2388765208346344,1.3166489121919585
48.32,0.6797764432510083,3.2536931,1.3054917000000001,3.251826242088806,1.3072950011680748
48.33,0.6813189165166753,3.2662823,1.2967688000000002,3.264404479312976,1.298128322236937
48.34,0.6828583703224336,3.2784771,1.2882508000000001,3.27659100358195,1.2891609608402343
48.35,0.6843947978457472,3.2902560999999997,1.279948,3.288364463799547,1.2811993802994754
48.36,0.6859281922775005,3.3015996,1.2718705,3.2997051809157503,1.2737418143020465
48.37,0.687458546822018,3.312487,1.2640278,3.3105925487413144,1.266543740874906
48.38,0.688985854697094,3.3228980999999997,1.2564288000000001,3.3210063305072186,1.2596119883388437
48.39,0.6905101091340248,3.3328124,1.2490820999999999,3.3309259625778633,1.2529527340731514
48.4,0.6920313033776416,3.3422121000000002,1.2419953000000001,3.340333548683236,1.2465714153135954
48.41,0.693549430686338,3.3510799000000002,1.2351752,3.3492116662308495,1.2404724156304041
48.42,0.6950644843320966,3.3594006,1.229448,3.3575449673619095,1.234659146437573
48.43,0.6965764576005218,3.3671604,1.2252838,3.365319479364085,1.2291335428452328
48.44,0.6980853437908737,3.3743498,1.2213905,3.372525514567167,1.2238965377334594
48.45,0.6995911362160898,3.3809624,1.2178746,3.379156464109408,1.2205114921250932
48.46,0.7010938282028184,3.3869966,1.215395,3.3852105055775863,1.2175329446377152
48.47,0.7025934130914507,3.3924554000000002,1.2131626,3.3906904142087457,1.2148123155088548
48.48,0.7040898842361483,3.3973477,1.21117,3.395604859412089,1.212342819399109
48.49,0.7055832350048692,3.4016872,1.2094082,3.399967317463622,1.2101162363400544
48.5,0.7070734587794006,3.405494,1.2078672,3.403797668861593,1.2081229178437194
48.51,0.7085605489553918,3.4087938,1.2065362,3.4071213993622393,1.2063527924640167
48.52,0.7100444989423751,3.411618,1.2054029000000002,3.4099697219487553,1.2048500971781388
48.53,0.7115253021638,3.4140009,1.2044557,3.4123767544267816,1.2038512276415512
48.54,0.7130029520570644,3.415982,1.2036816,3.4143818363661316,1.2030861905742722
48.55,0.7144774420735407,3.4176029999999997,1.2030675,3.416026526741354,1.202480733370423
48.56,0.7159487656786028,3.4189078999999998,1.2026005,3.4173547059377793,1.2020219469016773
48.57,0.7174169163516575,3.4199411,1.2022669000000001,3.418410672726198,1.2016961301450497
48.58,0.7188818875861771,3.4207466999999996,1.202054,3.4192384436457544,1.2014905853249596
48.59,0.7203436728897208,3.424112,1.2019495,3.424072940640461,1.2013930245750102
48.6,0.721802265783967,3.4335322,1.2019411999999998,3.4334919253414897,1.2013912581781068
48.61,0.723257659804745,3.4424744,1.2020177,3.442432971451221,1.2014739014634939
48.62,0.7247098485020604,3.450946,1.202168,3.450903470824917,1.2016299747056225
48.63,0.726158825440122,3.4589577,1.202382,3.458914117954892,1.2018493972449962
48.64,0.7276045841973723,3.4665238,1.2026504,3.466479206281745,1.2021228876031438
48.65,0.7290471183665195,3.4736614,1.2029651000000001,3.4736158316386403,1.2024423691385726
48.66,0.730486421554558,3.4803895000000002,1.2033185,3.480342989686819,1.2028002575278585
48.67,0.731922487382806,3.486729,1.203704,3.486681577718211,1.203189971633061
48.68,0.7333553094869238,3.4927018,1.204116,3.492653492852749,1.2036059285023368
48.69,0.7347848815169526,3.4983298,1.2045492,3.4982806331734855,1.2040428413669608
48.7,0.7362111971373332,3.5036354000000003,1.2049995,3.503585396495727,1.204496625933389
48.71,0.7376342500269383,3.5086399,1.205463,3.508589082102655,1.20496338963815
48.72,0.7390540338791036,3.5133641,1.2059368,3.5133124884992872,1.205440244075198
48.73,0.7404705424016481,3.5178278,1.2064182,3.517775414555632,1.2059244962558955
48.74,0.741883769316911,3.5220498,1.2069051,3.5219966600795045,1.2064140472597584
48.75,0.7432937083617701,3.5260479,1.2073954,3.5259940238150724,1.2069068067966857
48.76,0.7447003532876789,3.5298382999999998,1.2078878,3.5297837053119263,1.207401471318534
48.77,0.7461036978606866,3.5334363,1.2083808999999999,3.5333810042586036,1.2078966443827923
48.78,0.7475037358614686,3.5368565,1.2088736,3.536800519862764,1.2083912221542916
48.79,0.7489004610853565,3.5401116999999998,1.2093651,3.5400550518001976,1.2088843962073332
48.8,0.7502938673423637,3.5432142,1.2098545,3.543156899694567,1.2093752620525526
48.81,0.7516839484572102,3.5461751,1.2103412,3.5461171628098818,1.2098632119012227
48.82,0.7530706982693522,3.5490053,1.2108248000000001,3.548946741117781,1.2103478336373268
48.83,0.754454110633013,3.5517132,1.2113047,3.551654034052903,1.2108285061426916
48.84,0.7558341794172035,3.5543093,1.2117807,3.554249540755831,1.2113050178840479
48.85,0.7572108985057524,3.5567995,1.2122524000000001,3.556739161324016,1.2117769351375576
48.86,0.7585842617973358,3.5591914,1.2127198,3.559130495645692,1.2122442358344907
48.87,0.7599542632055022,3.5614917999999998,1.2131823000000002,3.5614303426676535,1.2127062724675302
48.88,0.7613208966586967,3.5637065000000003,1.2136399999999998,3.563644502170542,1.2131631108902896
48.89,0.7626841561002908,3.5658406,1.2140926,3.565778074162978,1.2136143904784027
48.9,0.7640440354886121,3.5678994,1.2145401,3.56783635793336,1.214060045843192
48.91,0.7654005287969632,3.5698876999999998,1.2149823,3.5698241532339567,1.2144997874553771
48.92,0.7667536300136578,3.5718097,1.2154192,3.5717456595197317,1.214933516472584
48.93,0.768103333142038,3.5736692999999997,1.2158506,3.57360477665131,1.2153608999811434
48.94,0.7694496322005103,3.5754701,1.2162766,3.5754051044422503,1.2157818652692738
48.95,0.7707925212225636,3.5772155999999997,1.2166968,3.5771501421886707,1.2161957818060516
48.96,0.7721319942567995,3.5789085,1.2171115000000001,3.578842589810278,1.2166026915507107
48.97,0.7734680453669617,3.580552,1.2175205,3.580485647389257,1.217001989822361
48.98,0.774800668631955,3.5821483,1.2179238,3.5820815140318034,1.2173932144187554
48.99,0.7761298581458798,3.5837000999999997,1.2183215,3.5836328899547536,1.217775780370816
49.0,0.7774556080180499,3.5852094,1.2187135,3.5851417747506646,1.218148635373164
49.01,0.7787779123730274,3.5866783,1.2191,3.586610267928135,1.2185106758005504
49.02,0.7800967653506407,3.5881089,1.2194807,3.5880404696333867,1.218859640445538
49.03,0.7814121611060139,3.5895028,1.2198559,3.589433979879324,1.219192910344645
49.04,0.7827240938095962,3.5908616,1.2202257,3.590792398028988,1.2195060158152127
49.05,0.7840325576471798,3.592187,1.2205899,3.5921174235346465,1.2197914392915035
